project_key,project_url,project_type,languages,complexoty,bugs,code_smell,ncloc,violations
tyhal_crie,https://github.com/tyhal/crie,github,css|go|js|json|py|terraform|yaml|,205,0,8,1511,8
TykTechnologies_tyk,https://github.com/TykTechnologies/tyk,github,go|js|json|py|web|xml|yaml|,7842,672,339,43354,1011
UiliamBomfim_dio-desafio-dataproc,https://github.com/UiliamBomfim/dio-desafio-dataproc,github,py|,1,0,0,7,0
UiliamBomfim_LocaCarWeb,https://github.com/UiliamBomfim/LocaCarWeb,github,css|js|json|py|web|,1055,54,292,9819,346
UiliamBomfim_ETL_Vendas,https://github.com/UiliamBomfim/ETL_Vendas,github,py|,6,0,12,364,12
UiliamBomfim_AgendaDjango,https://github.com/UiliamBomfim/AgendaDjango,github,py|web|,15,1,3,246,4
UiliamBomfim_airflow,https://github.com/UiliamBomfim/airflow,github,py|,19,1,5,276,6
UiliamBomfim_package-template,https://github.com/UiliamBomfim/package-template,github,py|,10,0,2,74,2
UIUCLibrary_getmarcapi,https://github.com/UIUCLibrary/getmarcapi,github,py|web|,59,0,7,321,7
UIUCLibrary_imagevalidate,https://github.com/UIUCLibrary/imagevalidate,github,c|cpp|py|,93,0,0,526,0
UIUCLibrary_pyexiv2bind,https://github.com/UIUCLibrary/pyexiv2bind,github,c|cpp|py|,69,0,11,611,11
UIUCLibrary_Packager,https://github.com/UIUCLibrary/Packager,github,py|,363,0,7,2039,7
UIUCLibrary_pyhathiprep,https://github.com/UIUCLibrary/pyhathiprep,github,py|,89,0,1,402,1
UIUCLibrary_HathiZip,https://github.com/UIUCLibrary/HathiZip,github,py|,27,0,1,168,1
UIUCLibrary_HathiValidate,https://github.com/UIUCLibrary/HathiValidate,github,py|,218,0,40,926,40
UIUCLibrary_uiucprescon.getmarc2,https://github.com/UIUCLibrary/uiucprescon.getmarc2,github,py|xml|,37,0,6,410,6
UIUCLibrary_uiucprescon.images,https://github.com/UIUCLibrary/uiucprescon.images,github,py|,17,0,3,91,3
UIUCLibrary_Tesseract_Glue,https://github.com/UIUCLibrary/Tesseract_Glue,github,c|cpp|py|,63,0,16,533,16
UIUCLibrary_Speedwagon,https://github.com/UIUCLibrary/Speedwagon,github,py|,2046,0,89,11665,89
umrlastig_tracklib,https://github.com/umrlastig/tracklib,github,py|,3105,11,1241,14870,1252
Uninett_nav,https://github.com/Uninett/nav,github,css|js|json|py|web|xml|yaml|,14430,511,2163,108216,2674
Uninett_Argus,https://github.com/Uninett/Argus,github,py|web|yaml|,1222,3,145,9430,148
Unit-II-Org_gh-actions-completed-code,https://github.com/Unit-II-Org/gh-actions-completed-code,github,py|web|yaml|,6,0,0,126,0
united-manufacturing-hub_united-manufacturing-hub,https://github.com/united-manufacturing-hub/united-manufacturing-hub,github,css|go|json|py|web|yaml|,4178,0,114,25998,114
zzalscv2_pythia-core,https://github.com/zzalscv2/pythia-core,github,go|json|py|,312,0,27,2041,27
zzalscv2_DIRAC,https://github.com/zzalscv2/DIRAC,github,css|json|py|web|xml|yaml|,35110,48,29154,170294,29208
urth-inc_cell-space,https://github.com/urth-inc/cell-space,github,py|,32,0,1,163,1
utu-protocol_defi-portal-scanner,https://github.com/utu-protocol/defi-portal-scanner,github,go|json|py|yaml|,341,0,13,2608,13
uyuni-project_uyuni,https://github.com/uyuni-project/uyuni,github,css|java|js|json|py|ruby|ts|web|xml|yaml|,64738,417,11345,361870,11784
aquela-organizacao-linda-de-testes_sonar_poc,https://github.com/aquela-organizacao-linda-de-testes/sonar_poc,github,py|,12,0,1,29,1
vanarok_dotfiles,https://github.com/vanarok/dotfiles,github,css|py|,56,1,9,514,10
